seed,zone,lod,triangles,wood_components,wood_boundary_edges,wood_nonmanifold,crown_components,crown_wood_contacts_min,max_tip_to_crown_surface,root_min_y_delta,source_matrix_error,palette_error,sha256
2162,moss-islands,0,3598,1,0,0,6,9,0.11188067495822906,0.004685878753662109,5.977135151269408e-07,3.052039454498612e-09,a6fe66b5fcdc28ade5408b003ad4709c7050573a93bccdd384fc0c4e5389edc0
2162,moss-islands,1,2228,1,0,0,6,10,0.11285344511270523,0.004685878753662109,5.977135151269408e-07,3.052039454498612e-09,708e2e93604b81ea729c6caa8daa5f7fc53f8fac5d41a9df5d71d909a8f120f7
2162,moss-islands,2,1222,1,0,0,6,7,0.10518383234739304,0.005545884370803833,5.977135151269408e-07,3.052039454498612e-09,559e796c826347485fb7ce3abb780b1fcf2895aae3a54cf42ba7dd6c2aa01072
2171,moss-islands,0,3600,1,0,0,7,11,0.0941653698682785,0.009410232305526733,5.912780762784564e-07,3.052039454498612e-09,1b39f99094985e390c1bf9003389d285c1d226aa3074eecc200b13c0aa641d4b
2171,moss-islands,1,2230,1,0,0,7,11,0.09509284049272537,0.008160233497619629,5.912780762784564e-07,3.052039454498612e-09,4d723f237cf345f4bdad8d3dc303a470d8347ddb58536e80bedd4e8bc1c9515e
2171,moss-islands,2,1222,1,0,0,7,7,0.09407002478837967,0.008800238370895386,5.912780762784564e-07,3.052039454498612e-09,a8ff5da89e43df4d82646b78ff8684fe8673bb550f745004612c76ac083aea62
2180,moss-islands,0,3598,1,0,0,6,9,0.10417527705430984,0.010285913944244385,5.912780762784564e-07,3.052039454498612e-09,e5a0cebd0b5e6b93137d648a059ac77d7104a53d283ffd6f19bfadbaa092e073
2180,moss-islands,1,2228,1,0,0,6,9,0.10119324177503586,0.010285913944244385,5.912780762784564e-07,3.052039454498612e-09,ee852ec48c2d49518eea208c4d1ccc222dd14b55659e1b52b2155c84f528b735
2180,moss-islands,2,1222,1,0,0,6,6,0.0959528386592865,0.010865911841392517,5.912780762784564e-07,3.052039454498612e-09,500252d4a6f4e660c993ff955706169b623f34e30d199f793365086f1289cf21
2189,moss-islands,0,3600,1,0,0,6,11,0.09802018105983734,0.010681778192520142,5.912780762784564e-07,3.052039454498612e-09,77b97298d82607cdcd9089c9261ec6162d452645f360f4d4d5759bad7a8e71d0
2189,moss-islands,1,2230,1,0,0,6,9,0.0947091355919838,0.009821772575378418,5.912780762784564e-07,3.052039454498612e-09,61c59c9da5e739a435eef9a4d1672d6c4f90f741079935e20ccdd78aded2334b
2189,moss-islands,2,1222,1,0,0,6,6,0.10075792670249939,0.007401779294013977,5.912780762784564e-07,3.052039454498612e-09,f93d8a4f2efc1f0d25956cacd6c400e87b4d6dff8a74f1844c2ad281b9ce64dc
3011,empty-court,0,3600,1,0,0,6,11,0.09845031052827835,0.012039348483085632,5.912780762784564e-07,3.052039454498612e-09,47049e50c229cf8e39823316c75bfe0d8f44cfedc6edcc3faf0c300bf5b05ecc
