00:00.357  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/oldHarbor.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:15:47 | INFO: Extracting primitive: crew-armL.005
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.006
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.007
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.008
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.009
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.010
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.011
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.012
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.014
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.015
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.016
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.017
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.018
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.019
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.027
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.028
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.039
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.046
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.047
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.048
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.049
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.050
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.051
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.052
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.029
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.030
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.031
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.032
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.033
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.034
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.035
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.036
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.037
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.038
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.040
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.041
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.042
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.043
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.044
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-armL.045
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: crew-crest.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.002
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.013
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.020
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.021
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.022
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.023
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.024
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.025
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.026
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.003
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.004
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.005
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.006
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.007
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.008
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.009
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.010
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.011
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.012
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.014
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.015
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.016
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.017
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.018
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crest.019
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.001
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.002
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.013
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.020
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.021
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.022
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.023
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.024
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.025
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.026
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.003
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.004
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.005
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.006
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.007
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.008
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.009
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.010
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.011
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.012
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.014
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.015
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.016
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.017
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.018
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestFeathers.019
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.001
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.002
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.013
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.020
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.021
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.022
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.023
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.024
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.025
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.026
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.003
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.004
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.005
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.006
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.007
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.008
04:15:47 | INFO: Primitives created: 1
04:15:47 | INFO: Extracting primitive: crew-crestStems.009
04:15:47 | INFO: Primitives created: 1
